"year","month","day","type","authors","title","venue","detail","place","award","url","doi","note","reviewed","sortkey"
"2024","05","","poster","R. Takahashi*†, T. Sato, W. Yukita, T. Yokota, T. Someya, E. Iwase, and Y. Kawahara","Body-scale wireless charging via meandered textile coil for continuous full-body electric skin","The 7th event of THE YOUNG RESEARCHERS SOCIETY FOR FLEXIBLE AND STRETCHABLE ELECTRONICS","","Osaka,Japan","FSE Best Poster Presentation Award","https://fsejp.weebly.com/uploads/1/3/3/5/133572570/fse_7th_flyer_and_program_2.pdf","","","no","20240500"
"2023","08","","journal","高橋亮*†,雪田和歌子,横田知之,染谷隆夫,川原圭博","メアンダコイル++:継続的なウェアラブルコンピューティングのための衣類全面での安全で高効率な無線給電","コンピュータソフトウェア(サイバー増大号)","Vol.40, No.3, pp. 113-122","","","https://www.jstage.jst.go.jp/article/jssst/40/3/40_3_113/_article/-char/ja/","10.11309/jssst.40.3_113","","yes","20230800"
"2022","12","","domestic","高橋亮*†,雪田和歌子,横田知之,染谷隆夫,川原圭博","メアンダコイル++:継続的なウェアラブルコンピューティングのための衣類全面での安全で高効率な無線給電","第30回インタラクティブシステムとソフトウェアに関するワークショップ(WISS 2022)","pp.79-86","山形","最優秀論文賞受賞","https://www.wiss.org/WISS2022/","","","yes","20221200"
"2022","04","29","conference","R. Takahashi*†, W. Yukita, T. Yokota, T. Someya, and Y. Kawahara","Meander Coil++: A Body-scale Wireless Power Transmission using Safe-to-body and Energy-efficient Transmitter Coil","Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems (ACM CHI'22)","Article No.: 390, Pages 1-12","New Orleans, LA, USA","Best Paper Award","https://dl.acm.org/doi/abs/10.1145/3491102.3502119","10.1145/3491102.3502119","","yes","20220429"
"2022","03","","domestic","高橋亮*†,雪田和歌子,横田知之,染谷隆夫,川原圭博","ユビキタスな面状センサアレイに向けた単一センサアレイによる多機能センシングの設計","信学総大 2022","B-15","オンライン","","https://www.ieice-taikai.jp/2022general/jpn/p_pro/0221_Bpro.pdf","","","no","20220300"
"2021","12","27","journal","R. Takahashi*†, W. Yukita, T. Sasatani, T. Yokota, T. Someya, and Y. Kawahara","Twin Meander Coil: Sensitive Readout of Battery-free On-body Wireless Sensors Using Body-scale Meander Coils","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (ACM IMWUT)","Vol.5, No.4, Article No.179","","","https://dl.acm.org/doi/10.1145/3494996","10.1145/3494996","","yes","20211227"
"2021","09","","journal","M. Morita, T. Sasatani, R. Takahashi, and Y. Kawahara","Surface Routing for Wireless Power Transfer using 2-D Relay Resonator Arrays","IEEE Access","Vol. 9, pp. 133102 - 133110","","","https://ieeexplore.ieee.org/document/9547299","10.1109/ACCESS.2021.3115143","","yes","20210900"
"2021","09","","domestic","高橋亮*†,雪田和歌子,笹谷拓也,横田知之,染谷隆夫,川原圭博","衣服スケールのメアンダコイルによるバッテリレスセンサの高感度な無線読み取り手法","UBI研究会","第71回","オンライン","優秀論文賞","http://sigubi.ipsj.or.jp/","","","no","20210900"
"2021","09","","domestic","高橋亮*†,雪田和歌子,横田知之,染谷隆夫,川原圭博","衣類全面での無線給電に向けた人体に安全な送電コイルの設計","信学ソ大 2021","B-15","オンライン","","https://www.ieice-taikai.jp/2021society/jpn/p_program.html","","","no","20210900"
"2021","03","","domestic","高橋亮*†,雪田和歌子,笹谷拓也,横田知之,染谷隆夫,川原圭博","バッテリレスなウェアラブルの無線センシングに向けた衣類型リーダコイルの設計","信学総大 2021","B-15-23","Online","","https://www.ieice.org/publications/conferences/article.php?expandable=0&ConfCd=2021G&session_num=B-15&conf_type=G&year=2021","","","no","20210300"
"2020","10","20","conference","R. Takahashi*†, M. Fukumoto, C. Han, T. Sasatani, Y. Narusue, and Y. Kawahara","TelemetRing: A Batteryless and Wireless Ring-Shaped Keyboard using Passive Inductive Telemetry","Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology (UIST’20)","Pages 1161–1168","Virtual (previously Minneapolis, US)","","https://dl.acm.org/doi/10.1145/3379337.3415873","10.1145/3379337.3415873","","yes","20201020"
"2020","09","","domestic","高橋亮*†,笹谷拓也,川原圭博","体内への電磁界暴露を抑制可能な無線給電・通信用テキスタイルコイルの設計","信学ソ大 2020","B-15","オンライン","","https://www.ieice.org/publications/conferences/summary.php?id=CONF0000127759&expandable=1&ConfCd=2020S&session_num=B-15&lecture_number=B-15-22&year=2020&conf_type=S","","","no","20200900"
"2020","03","","domestic","平井雄太,笹谷拓也,高橋亮,川原圭博","マルチモード準静空洞共振器を用いた無線給電における中継器の構成についての検討","信学総大 2020","B-20-11","広島,日本","","https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202002292134569145","","","no","20200300"
"2020","03","","domestic","高橋亮*†,韓燦教,笹谷拓也,成末義哲,福本雅朗,川原圭博,苗村健","ワイヤレスな指輪型キーボードのバッテリレス化手法","信学総大 2020","B-15-13","広島,日本","","https://www.ieice.org/publications/conferences/summary.php?id=CONF0000125962&expandable=0&ConfCd=2020G&session_num=B-15&lecture_number=B-15-13&year=2020&conf_type=G","","","no","20200300"
"2020","01","","conference","M. Morita, T. Sasatani, R. Takahashi, and Y. Kawahara","Topology Construction Protocol for Wireless Power Transfer System with a 2-D Relay Resonator Array","Proc. of IEEE International Conference on Consumer Electronics 2020 (ICCE)","pp.1-5","Las Vegas, US","","https://ieeexplore.ieee.org/document/9043052","10.1109/ICCE46568.2020.9043052","","yes","20200100"
"2018","12","27","journal","R.Takahashi*†, T. Sasatani, F. Okuya, Y. Narusue, and Y. Kawahara","A Cuttable Wireless Power Transfer Sheet","Proc. of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (ACM IMWUT)","Vol.2, No.4, Article No. 190","","","https://dl.acm.org/citation.cfm?id=3287068","10.1145/3287068","","yes","20181227"
"2018","10","08","demo","R. Takahashi*†, T. Sasatani, F. Okuya, Y. Narusue, and Y. Kawahara","Demo: Design of Cuttable Wireless Power Transfer Sheet","Adjunct Proc. of ACM UbiComp 2018","pp.456-459","Singapore","","https://dl.acm.org/citation.cfm?id=3267570","10.1145/3267305.3267570","","yes","20181008"
"2018","10","","domestic","角谷和宣,西澤勇輝,笹谷拓也,高橋亮,成末義哲,川原圭博","1MHz磁界共振結合方式を用いた無線給電プラレールの設計と製作","信学技報","Vol. 118, No. 227, WPT2018-50, pp. 111-114","京都","","https://www.ieice.org/ken/paper/20181004B169/","","依頼講演","no","20181000"
"2018","03","","domestic","高橋亮*†,笹谷拓也,奥谷文徳,成末義哲,川原圭博","切断により形状の変更が可能な無線電力伝送シートの設計の一検討","信学総大 2018","B-21-19","東京, 日本","","https://www.ieice.org/publications/conferences/summary.php?id=CONF0000116660&expandable=0&ConfCd=2018G&session_num=B-21&lecture_number=B-21-19&year=2018&conf_type=G","","","no","20180300"
